Debt collection,"['debt', 'collect', 'owe', 'recoveri', 'collector', 'equifax', 'harass', 'inquiri', 'valid', 'agenc']"
Vehicle loan or lease,"['car', 'vehicl', 'leas', 'financ', 'payment', 'dealership', 'toyota', 'dealer', 'loan', 'auto']"
"Credit reporting, credit repair services, or other personal consumer reports","['report', 'credit', 'call', 'remov', 'equifax', 'bank', '00', 'money', 'tell', 'experian']"
"Money transfer, virtual currency, or money service","['money', 'transact', 'transfer', 'paypal', 'ticket', 'bank', 'app', 'refund', 'credit', '00']"
Mortgage,"['mortgag', 'escrow', 'loan', 'modif', 'foreclosur', 'properti', 'home', 'credit', 'report', 'payment']"
Student loan,"['navient', 'loan', 'student', 'educ', 'repay', 'forgiv', 'school', 'plan', 'incom', 'payment']"
Credit card or prepaid card,"['card', 'reward', 'report', 'charg', 'chase', 'custom', 'purchas', 'loan', '00', 'capit']"
Checking or savings account,"['bank', 'deposit', 'check', 'fund', 'money', 'branch', 'overdraft', 'report', 'credit', 'account']"
Credit card,"['polit', 'card', 'voic', 'deadbeat', 'glorious', 'darn', 'bureaux', 'grudg', 'um', 'teeni']"
"Payday loan, title loan, or personal loan","['loan', 'report', 'interest', 'payday', '600', 'disput', 'springleaf', 'netcredit', 'credit', 'pay']"
Consumer Loan,"['opportun', 'midwest', 'vernar', 'harp', 'phish', 'recoveri', 'wo', 'alert', 'trigger', 'egregi']"
Credit reporting,"['bodi', 'chanc', 'occas', 'affect', 'insur', 'inaccur', 'three', 'author', 'valid', 'new']"
Payday loan,"['payday', 'midwest', 'recoveri', 'blast', 'yea', 'ago', 'folk', 'fourth', 'isnt', 'notic']"
Bank account or service,"['chip', 'presid', 'm', 'constant', 'poor', 'deni', 'custom', 'without', 'claim', 'refus']"
